"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
"Chemistry 1",,,,,,,
,"Major Concepts and Ideas"," ",,,,,
," ","Introduction",,,,,
,,"Classification and properties of matter",,,,,
,,"Density and Buoyancy",,,,,
,,"Energy, Heat and Temperature",,,,,
,,"Units and Dimensions",,,,,
,,"Measurement Error and Uncertainty",,,,,
,,"Significant Figures and Rounding Off",,,,,
,"Atomic Basics: Elements, Atoms, and the Nucleus",,,,,,
,,"Elements, Atoms, and the Nucleus",,,,,
,,,," ","Atomic basics",,
,,,,,"All about Avogadro's number and the mole",,
,,,,,"Formulas and their meaning",,
,,,,,"How to read, write, and use chemical equations",,
,,,," ","Naming chemical substances",,
,,"Primer on quantum theory of the atom",,,,,
,,"Atomic structure and the periodic table",,,,,
,,"Why doesn't the electron fall into the nucleus?",,,,,
,"Gases",,,,,,
" ",,"Observable properties of gases",,,,,
" ",,"Ideal gas model:",,,,,
,,"Moles and mixtures of gases, Dalton's law",,,,,
" ",,"Molecules in motion ",,,,,
" ",,"More on kinetic-molecular theory",,,,,
,,"Real gases and critical phenomena",,,,,
,"Solids and Liquids",,,,,,
,"Solutions: their chemistry and physical properties ",,,,,,
,"Chemical bonding and molecular structure",,,,,,
,"Acids and Bases",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
" ",,,,,,,
