"Code","Name","Nickname","Chief School Administrator","Phone Numbers","Chief Administrator Email","Web","Address 1","Address 2","City","State","Zip","Chief Secretary","Chief Secretary Phone","Notes","Elementary Curriculum Chief","Elementary Curriculum Chief email"
"_8060","Clayton School District","clayton","Mr. Cleve W. Bryan","856-881-8700","cbryan@clayton.k12.nj.us","http://www.clayton.k12.nj.us/clayton/site/default.asp","300 W. Chestnut Street",,"Clayton","NJ","_08312","Mrs. Renee Lavelle","856 881-8700, ext. 3050","LM 5/9",,
"_0870","Clearview Regional High School District","clearview","Mr. John Horchak III","856-223-2765?",,"http://www.clearviewregional.edu/","420 Cedar Rd. ??",,"Mullica Hill","NJ","_08062","Mrs. Cindy Bradley","856 223-2765","LM 5/9",,
"_4940","Delsea Regional School District","delsea","Mr. Frank D. Borelli","856-694-0100, ext.216","fborelli@delsearegional.us","http://www.delsea.k12.nj.us/cgi-bin/main.pl","242 Fries Mill Rd",,"Franklinville","NJ","_08322","Mrs. Kathy Coblentz","856 694-0100, ext. 216","LM 5/9",,
"_1100","Deptford Township Schools","deptford","Mr. Ralph Ross, Interim","856-232-2700, ext.3014?","ross.r@deptford.k12.nj.us","http://www.deptford.k12.nj.us/","2022 Good Intent Rd",,"Deptford","NJ","_08096","Mrs. Nancy Draggoo","856 232-2700, ext. 3014","LM 5/9",,
"_1180","East Greenwich Township Schools","east_greenwich","Mr. Joseph P. Conroy","856-423-0412?","conroyj@eastgreenwich.eastgreenwich.k12.nj.us","http://www.eastgreenwich.k12.nj.us/","559 Kings Highway",,"Mickleton","NJ","_08056","Mrs. Kathleen McMahon","856 423-0412, ext. 1030","LM 5/9",,
"_1330","Elk Township School District","elk","Mr. Frank Borelli","856-881-4551 ext. 1001","refused","https://sites.google.com/a/elk.k12.nj.us/elk/home","100 Unionville Road",,"Elk Township","NJ","_08028","Ms. Kathy Nichols","856 881-4551, ext. 1001","LM 5/9 + Peg Boise ",,
"_1590","Franklin Township Schools","franklin","Dr. Michael G. Kozak","856-629-9500, ext.201","mkozak@franklintwpschools.org","http://www.franklintwpschools.org/newsite/","3228 Coles Mill Road",,"Franklinville","NJ","_08322","Mrs. Sissy Vannini","856 629-9500, ext. 201","LM 5/9",,
"_1715","Gateway Regional School District","gateway","Dr. Shannon M. Whalen","856-848-8172","swhalen@gatewayhs.com","http://www.gatewayhs.com/","775 Tanyard Rd",,"Woodbury Hts","NJ","_08096","Mrs. Nancy Escheman","856 848-8172","LM 5/9",,
"_1730","Glassboro Public Schools","glassboro","Dr. Mark J. Silverstein","856-652-2700, ext. 76115?",,"http://www.glassboro.k12.nj.us/glassborops/site/default.asp","560 Joseph Bowe Memorial Blvd.",,"Glassboro","NJ","_08028","Ms. Rose Lupo-Schopfer","856 652-2700, ext. 76110","LM 5/9",,
"_1830","Greenwich Township School District","greenwich","Mr. Vincent Tarantino, Interim","856-224-4920, ext.132",,"http://www.greenwich.k12.nj.us/","415 Swedesboro Road",,"Gibbstown","NJ","_08027","Mrs. Angela Addeo","856 224-4920, ext. 132","LM 5/9",,
