"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
"21CLC__21st-Century Life and Careers","9.2__Personal Financial Literacy","F__Civic Financial Responsibility",,,,,
," ",,,4,"The potential for building and using personal wealth includes responsibility to the broader community and an understanding of the legal rights and responsibilities of being a good citizen.","F.1","Demonstrate an understanding of individual financial obligations and community financial obligations."
,,,,,,"F.2","Relate a country’s economic system of production and consumption to building personal wealth and achieving societal responsibilities."
,,,,,,,
,"9.1__21st-Century Life & Career Skills","A__Critical Thinking and Problem Solving",,4,"The ability to recognize a problem and apply critical thinking and problem-solving skills to solve the problem is a lifelong skill that develops over time.","A.1","Recognize a problem and brainstorm ways to solve the problem individually or collaboratively."
,,,,,,"A.2","Evaluate available resources that can assist in solving problems"
,,,,,,"A.3","Determine when the use of technology is appropriate to solve problems. "
,,,,,,"A.4","Use data accessed on the Web to inform solutions to problems and the decision-making process."
,,,,,,"A.5","Apply critical thinking and problem-solving skills in classroom and family settings."
,,,,8,"The ability to recognize a problem and apply critical thinking and problem-solving skills to solve the problem is a lifelong skill that develops over time.","A.1","Develop strategies to reinforce positive attitudes and productive behaviors that impact critical thinking and problem-solving skills. "
,,,,,,"A.2","Implement problem-solving strategies to solve a problem in school or the community."
,,,,,,"A.3","Summarize strategies used by various organizations and agencies to solve problems that impact communities, and compare them with strategies used by similar organizations in another state or country."
,,,,,,"A.4","Design and implement a project management plan using one or more problem-solving strategies."
,,,,12,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","A.1","Apply critical thinking and problem-solving strategies during structured learning experiences."
,,,,,,"A.2","Participate in online strategy and planning sessions for course-based, school-based, or outside projects."
,,,,,"Critical thinking and problem solving in the 21st century are enhanced by the ability to work in cross-cultural teams in face-to-face and virtual environments.","A.3","Assess how a variety of problem-solving strategies are being used to address solutions to global problems by participating in online discussions with peers from other countries."
,,,,,,"A.4","Justify problem-solving strategies used in the development of a particular innovative product or practice in the United States and in another country.    "
,,"B__Creativity and Innovation",,4,"Brainstorming activities enhance creative and innovative thinking in individual and group goal setting and problem solving.","B.1","Participate in brainstorming sessions to seek information, ideas, and strategies that foster creative thinking."
,,,,8,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","B.1","Use multiple points of view to create alternative solutions."
,,,,,,"B.2","Assess data gathered to solve a problem for which there are varying perspectives (e.g., cross-cultural, gender-specific, generational), and determine how the data can best be used to design multiple solutions."
,,,,12,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","B.1","Present resources and data in a format that effectively communicates the meaning of the data and its implications for solving problems, using multiple perspectives."
,,,,,,"B.2","Create and respond to a feedback loop when problem solving."
,,,,,,"B.3","Assist in the development of innovative solutions to an onsite problem by incorporating multiple perspectives and applying effective problem-solving strategies during structured learning experiences, service learning, or volunteering. "
,,"C__Collaboration, Teamwork, and Leadership",,4,"Collaboration and teamwork enable individuals or groups to achieve common goals with greater efficiency.","C.1","Practice collaborative skills in groups, and explain how these skills assist in completing tasks in different settings (at home, in school, and during play). "
