"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
"GED__GraduateEquivalencyExam","M__Mathematics",,,12,,,
,,"NumberOperations_NumberSense",25.00%,12,,0,"none"
,,"Measurement_Geometry",25.00%,12,,0,"none"
,,"DataAnalysis_Probability_Statistics",25.00%,12,,0,"none"
,,"Algebra_Functions_Patterns",25.00%,12,,0,"none"
,"SS__Social Studies",,,,,,
,,"NationalHistory",25.00%,,,0,"none"
,,"Government_Civics",25.00%,,,0,"none"
,,"WorldHistory",15.00%,,,0,"none"
,,"Economics",20.00%,,,0,"none"
,,"Geography",,,,,
,"SC__Science",,,,,,
,,"LifeScience",45.00%,,,0,"none"
,,"Physics_Chemistry",35.00%,,,0,"none"
,,"EarthScience",20.00%,,,0,"none"
,"R__Reading",,,,,,
,,"Literary",80.00%,,,0,"none"
,,"NonFiction",20.00%,,,0,"none"
,"W__Writing",,,,,,
,,"Essay",100.00%,,,0,"none"
