"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
"Rails__Web Engineering",,,,,,,
,"1__Internet",,,,,,
,"2__HTTP"," "," ",,,,
,"3__Hypertext Markup Language (HTML)",,,,,,
,"4__Object Oriented Programming (OOP)",,,,,,
,"5__Ruby",,,,,,
,"6__Ruby On Rails",,,,,,
,,"1__Framework",,,,,
,,,," ","Web programming using Ruby on Rails provides a robust platform for developing web sites."," "," "
,"http://www.joelonsoftware.com/articles/fog0000000043.html",,,,,,"Position RAILS in the Market"
,,,,,,1,"Confirm prerequisite understanding of Internet"
,,,,,,1,"Confirm prerequisite understanding of HTTP"
,,,,,,1,"Confirm prerequisite understanding of HTML"
,,,,8," ",1,"Confirm prerequisite understanding of OOP"
,,,,,,"A.2","Confirm prerequisite understanding of Ruby"
,,,,,,"A.3",
,,,,,,"A.4","Design and implement a project management plan using one or more problem-solving strategies."
,,,,12,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","A.1","Apply critical thinking and problem-solving strategies during structured learning experiences."
,,,,,,"A.2","Participate in online strategy and planning sessions for course-based, school-based, or outside projects."
,,,,,"Critical thinking and problem solving in the 21st century are enhanced by the ability to work in cross-cultural teams in face-to-face and virtual environments.","A.3","Assess how a variety of problem-solving strategies are being used to address solutions to global problems by participating in online discussions with peers from other countries."
,,,,,,"A.4","Justify problem-solving strategies used in the development of a particular innovative product or practice in the United States and in another country."
,,"B__Creativity and Innovation",,4,"Brainstorming activities enhance creative and innovative thinking in individual and group goal setting and problem solving.","B.1","Participate in brainstorming sessions to seek information, ideas, and strategies that foster creative thinking."
,,,,8,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","B.1","Use multiple points of view to create alternative solutions."
,,,,,,"B.2","Assess data gathered to solve a problem for which there are varying perspectives (e.g., cross-cultural, gender-specific, generational), and determine how the data can best be used to design multiple solutions."
,,,,12,"Gathering and evaluating knowledge and information from a variety of sources, including global perspectives, fosters creativity and innovative thinking.","B.1","Present resources and data in a format that effectively communicates the meaning of the data and its implications for solving problems, using multiple perspectives."
,,,,,,"B.2","Create and respond to a feedback loop when problem solving."
,,,,,,"B.3","Assist in the development of innovative solutions to an onsite problem by incorporating multiple perspectives and applying effective problem-solving strategies during structured learning experiences, service learning, or volunteering."
,,"C__Collaboration, Teamwork, and Leadership",,4,"Collaboration and teamwork enable individuals or groups to achieve common goals with greater efficiency.","C.1","Practice collaborative skills in groups, and explain how these skills assist in completing tasks in different settings (at home, in school, and during play)."
,,,,8,"Collaboration and teamwork enable individuals or groups to achieve common goals with greater efficiency.","C.1","Determine an individuals responsibility for personal actions and contributions to group activities.ﾠ"
,,,,,,"C.2","Demonstrate the use of compromise, consensus, and community building strategies for carrying out different tasks, assignments, and projects."
,,,,,"Leadership abilities develop over time through participation in groups and/or teams that are engaged in challenging or competitive activities.","C.3","Model leadership skills during classroom and extra-curricular activities."
,,,,12,"Collaboration and teamwork enable individuals or groups to achieve common goals with greater efficiency.","C.1","Enlist input from experts in the field, community members, and other stakeholders to design a service-learning activity that addresses a local, national, or worldwide need."
,,,,,"Leadership abilities develop over time through participation in groups and/or teams that are engaged in challenging or competitive activities.","C.2","Analyze the common traits of effective state, national, or international leaders."
,,,,,,"C.3","Explain why some current and/or past world leaders have had a greater impact on people and society than others, regardless of their countries of origin."
,,,,,,"C.4","Demonstrate leadership and collaborative skills when participating in online learning communities and structured learning experiences."
,,,,,,"C.5","Assume a leadership position by guiding the thinking of peers in a direction that leads to successful completion of a challenging task or project."
,,"D__Cross-Cultural Understanding and Interpersonal Communication",,4,"Effective communication skills convey intended meaning to others and assist in preventing misunderstandings.","D.1","Use effective oral and written communication in face-to-face and online interactions and when presenting to an audience."
,,,,,,"D.2","Express needs, wants, and feelings appropriately in various situations."
,,,,,"Communication with people from different cultural backgrounds is enhanced by the understanding of different cultural perspectives.","D.3","Demonstrate an awareness of ones own culture and other cultures during interactions within and outside of the classroom."
